FileName,DigitLabel,Left,Top,Width,Height
1.png,1,246,77,81,219
1.png,9,323,81,96,219
2.png,2,77,29,23,32
2.png,3,98,25,26,32
3.png,2,17,5,8,15
3.png,5,25,5,9,15
4.png,9,57,13,15,34
4.png,3,72,13,13,34
5.png,3,52,7,21,46
5.png,1,74,10,15,46
6.png,3,28,6,10,21
6.png,3,38,8,11,21
7.png,2,35,10,13,32
7.png,8,47,11,13,32
8.png,7,17,4,7,15
8.png,4,25,4,6,15
8.png,4,31,3,7,15
9.png,1,19,4,14,24
9.png,2,29,4,13,24
9.png,8,38,5,17,24
10.png,1,25,6,9,27
10.png,6,34,4,14,27
11.png,2,22,5,12,26
11.png,3,33,4,9,26
12.png,6,67,16,23,55
12.png,3,90,17,20,55
13.png,4,44,12,17,33
13.png,2,63,13,18,33
14.png,5,35,2,21,42
14.png,8,55,2,23,42
15.png,1,22,8,14,20
15.png,6,33,7,10,20
16.png,2,20,3,7,19
16.png,3,26,1,7,19
17.png,7,23,4,14,22
17.png,9,35,4,12,22
18.png,5,52,12,28,41
18.png,3,80,17,21,41
19.png,2,19,1,7,19
19.png,2,28,1,7,19
19.png,2,36,1,7,19
20.png,6,20,2,11,24
20.png,2,32,1,11,24
21.png,2,72,6,52,85
22.png,5,24,4,10,16
22.png,1,34,5,7,16
22.png,5,40,5,11,16
23.png,4,29,5,21,32
23.png,7,52,5,22,32
24.png,8,233,59,19,34
24.png,9,248,56,21,34
25.png,6,60,11,24,50
25.png,10,87,9,24,50
25.png,1,113,7,21,50
26.png,2,34,7,12,32
26.png,4,49,8,13,32
27.png,5,46,11,26,45
27.png,6,73,8,27,45
28.png,5,31,8,13,33
28.png,2,42,7,10,33
29.png,1,43,14,10,18
29.png,3,51,13,16,18
29.png,2,66,14,5,18
30.png,1,16,1,7,25
30.png,4,25,1,11,25
31.png,6,14,1,10,19
31.png,3,24,1,11,19
31.png,8,36,1,11,19
32.png,4,48,16,17,33
32.png,3,67,19,18,33
33.png,1,27,5,16,33
33.png,4,42,5,18,33
34.png,4,41,13,16,32
34.png,2,54,9,24,32
35.png,6,25,5,7,14
36.png,4,50,9,23,47
36.png,4,72,8,24,47
37.png,1,24,4,6,20
37.png,1,42,2,7,20
38.png,1,87,28,26,57
38.png,7,108,22,37,57
39.png,3,62,19,13,40
39.png,1,74,20,9,40
40.png,2,61,9,28,61
40.png,10,93,17,28,61
41.png,4,38,10,11,35
41.png,2,50,9,13,35
42.png,2,110,27,25,51
42.png,5,131,36,30,51
42.png,1,159,36,26,51
43.png,2,87,24,31,51
43.png,9,119,20,26,51
44.png,2,19,3,13,26
44.png,10,32,3,8,26
44.png,4,40,3,7,26
